,date,Tmax,Normal of Tmax,Tmin,Normal of Tmin
589,09-09-24,30.1,29.0,21.8,21.0
590,10-09-24,30.0,29.0,22.0,21.0
591,11-09-24,29.2,29.0,21.3,21.0
592,12-09-24,28.4,29.0,21.2,21.0
593,13-09-24,29.2,29.5,19.9,20.9
594,14-09-24,29.7,29.5,19.2,20.9
595,15-09-24,26.3,29.5,20.9,20.9
596,16-09-24,30.1,29.5,18.7,20.9
597,17-09-24,30.3,29.5,19.3,20.9
598,18-09-24,31.0,29.5,18.8,20.9
599,19-09-24,31.8,29.5,20.3,20.9
600,20-09-24,32.2,29.5,22.6,20.9
601,21-09-24,29.4,29.5,23.2,20.9
602,22-09-24,31.6,29.5,21.3,20.9
603,23-09-24,30.5,30.5,22.0,20.9
604,24-09-24,31.1,30.5,22.5,20.9
605,25-09-24,30.3,30.5,22.9,20.9
606,26-09-24,29.4,30.5,22.2,20.9
607,27-09-24,27.9,30.5,22.4,20.9
608,28-09-24,28.8,30.9,21.8,21.0
609,29-09-24,30.7,30.9,21.3,21.0
610,30-09-24,33.2,30.9,20.4,21.0
611,01-10-24,34.9,30.9,21.9,21.0
612,02-10-24,33.8,30.9,23.4,21.0
613,03-10-24,31.9,31.3,23.2,20.6
614,04-10-24,31.9,31.3,21.5,20.6
615,05-10-24,32.9,31.3,20.2,20.6
